time,place,mag,depth,lon,lat,type,alert,tsunami,status,id,hour,month,day_of_week,tsl,hazard_label,target,zone,norm_mag,norm_depth,risk_score
2024-09-18 20:29:30.447,southeast of the Loyalty Islands,4.5,9.895,171.5682,-22.7381,earthquake,,0,reviewed,",us6000ntb9,",20,9,2,5.3269705555555555,MEDIUM,1,0,0.45,0.9858642857142857,6.207592857142857
2022-07-12 03:03:18.275,"141 km SSW of Gataivai, Samoa",4.8,10.0,-172.6803,-15.0184,earthquake,,0,reviewed,",us6000i1qq,",3,7,1,0.1859288888888889,MEDIUM,1,1,0.48,0.9857142857142858,6.357142857142857
2021-08-15 15:48:24.274,"128 km NNE of Calama, Chile",4.5,105.21,-68.667,-21.3178,earthquake,,0,reviewed,",us6000f6m7,",15,8,6,0.7386091666666666,MEDIUM,1,0,0.45,0.8497,5.799099999999999
2015-07-29 23:41:40.420,"128 km ENE of Rainbow Beach, Australia",5.5,9.0,154.2281,-25.3727,earthquake,green,0,reviewed,",us10002w8v,gcmt20150729234140,iscgem611836317,",23,7,2,1.6790583333333333,MEDIUM,1,0,0.55,0.9871428571428571,6.711428571428572
2023-08-31 10:29:28.866,"19 km NE of Naisano Dua, Indonesia",5.4,47.151,123.9031,-9.4768,earthquake,green,0,reviewed,",us7000ksbc,usauto7000ksbc,pt23243000,",10,8,3,0.8547216666666667,MEDIUM,1,0,0.54,0.9326414285714286,6.497924285714286
2016-11-28 12:54:42.090,"6 km NW of Buenavista, Philippines",4.6,116.43,126.1181,9.1559,earthquake,,0,reviewed,",us10007f5z,",12,11,0,1.0775666666666666,MEDIUM,1,0,0.45999999999999996,0.8336714285714286,5.8010142857142855
2024-10-02 21:05:40.918,off the east coast of the North Island of New Zealand,4.6,35.0,179.783,-35.0252,earthquake,,0,reviewed,",us6000nw66,",21,10,2,0.3613447222222222,MEDIUM,1,0,0.45999999999999996,0.95,6.149999999999999
2017-09-08 10:21:04.730,"47 km E of Sarangani, Philippines",4.6,102.53,125.8959,5.3955,earthquake,,0,reviewed,",us2000ai08,",10,9,4,0.03664722222222223,MEDIUM,1,0,0.45999999999999996,0.8535285714285714,5.8605857142857145
2020-11-09 22:48:49.196,"141 km S of Fukuech?, Japan",4.6,10.0,128.7016,31.4271,earthquake,,0,reviewed,",us7000ce9z,",22,11,0,3.3647850000000004,MEDIUM,1,0,0.45999999999999996,0.9857142857142858,6.257142857142856
2018-01-13 16:30:15.100,"68 km SSW of Palaióchora, Greece",4.7,33.49,23.3599,34.6724,earthquake,,0,reviewed,",us2000cjat,",16,1,5,2.1863888888888887,MEDIUM,1,0,0.47000000000000003,0.9521571428571428,6.206471428571429
2022-02-19 23:18:19.912,"69 km WNW of Panguna, Papua New Guinea",4.9,111.83,154.8931,-6.1029,earthquake,,0,reviewed,",us7000gmb5,",23,2,5,6.524191388888889,MEDIUM,1,0,0.49000000000000005,0.8402428571428572,5.970728571428571
2017-03-04 20:03:45.230,Fiji region,4.9,586.06,-178.458,-20.3638,earthquake,,0,reviewed,",us10008704,",20,3,5,2.4518055555555556,MEDIUM,1,1,0.49000000000000005,0.16277142857142868,3.938314285714286
2023-02-24 14:57:56.046,south of the Kermadec Islands,4.8,10.0,-178.4537,-33.2896,earthquake,,0,reviewed,",us6000jrbs,",14,2,4,0.312065,MEDIUM,1,1,0.48,0.9857142857142858,6.357142857142857
